estado,municipio,clave_marco_geoestadistico,url_consulta
Chihuahua,Bocoyna,08009,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=206239.020547692,3048079.92583442,281452.788066935,3110755.23699732&edoMun=08009"
Chihuahua,Buenaventura,08010,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=243359.612720233,3267633.2769955,358305.459964478,3415581.27930544&edoMun=08010"
Chihuahua,Camargo,08011,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=471256.68089722,3025208.69466532,633884.358080791,3182905.1182588&edoMun=08011"
Chihuahua,Carichí,08012,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=256841.240789215,3034376.20802848,334337.164216061,3119189.77840386&edoMun=08012"
Chihuahua,Casas Grandes,08013,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32612&LAYERS=lotificacion&BBOX=729310.012011266,3293442.22934724,796003.793426729,3398276.03158675&edoMun=08013"
Chihuahua,Coronado,08014,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=455906.060471748,2922195.7790435,529144.253927663,2978090.8101036&edoMun=08014"
Chihuahua,Coyame del Sotol,08015,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=411341.254659165,3204135.00774878,544461.494511503,3375231.16493432&edoMun=08015"
Chihuahua,La Cruz,08016,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=468814.01936239,3070394.4538936,523792.264407398,3102023.92140779&edoMun=08016"
Chihuahua,Cuauhtémoc,08017,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=277101.15378632,3136665.47163572,349780.85444894,3230916.24746415&edoMun=08017"
Chihuahua,Cusihuiriachi,08018,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32613&LAYERS=lotificacion&BBOX=279479.131215891,3103370.21496972,349655.553268675,3140086.62994932&edoMun=08018"
